,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,RH_pred,AH_pred,Time
44,2.7,1287.0,12.816446196415624,1077.5,163.0,948.75,123.0,1660.25,1060.75,16.275000572205,35.72500038147,0.6560306119627572,34.27673,0.65893,2004-03-12 14:00:00
45,2.9,1352.75,14.173851177910128,1122.25,190.0,921.75,126.0,1740.0,1139.25,15.825000047684,37.02499961853,0.6609611395034868,38.372356,0.6990733,2004-03-12 15:00:00
46,2.8,1309.0,12.690568103372724,1073.25,178.0,954.0,120.0,1657.25,1112.25,15.874999761581,37.175000190735,0.6657285250911997,35.233192,0.6614707,2004-03-12 16:00:00
47,2.4,1274.0,11.738405416264687,1040.5,150.0,1005.75,119.0,1609.75,993.75,16.875000238419,34.349999427795,0.6549085143270723,31.38125,0.6352525,2004-03-12 17:00:00
48,3.9,1509.5,19.290974886272963,1276.5,206.0,812.25,149.0,1909.75,1409.5,15.149999856949,39.550000190735,0.6766265078085045,43.526352,0.7494335,2004-03-12 18:00:00
49,3.7,1525.25,18.226178291697384,1246.0,202.0,821.0,145.0,1846.75,1447.75,14.399999856949,43.425000190735,0.7084497598177374,43.087532,0.7124782,2004-03-12 19:00:00
50,6.6,1843.0,32.55627834707047,1609.75,340.0,624.0,170.0,2390.25,1886.5,12.875,50.525000572205,0.7478032188508966,49.48849,0.8335991,2004-03-12 20:00:00
51,4.4,1597.75,20.092943564494178,1299.0,274.0,752.0,149.0,1940.5,1626.75,12.149999856949,53.349999427795,0.7536202227825304,52.73174,0.7431627,2004-03-12 21:00:00
52,3.5,1483.5,14.321342422629458,1127.0,253.0,839.0,139.0,1723.0,1491.0,10.975000143051,59.125000953674,0.7739800033862854,55.990597,0.716224,2004-03-12 22:00:00
53,5.4,1677.25,21.81286506943192,1346.0,300.0,740.5,134.0,2062.0,1657.0,9.6749999523163,64.624999046326,0.7770739425473616,62.34637,0.75559443,2004-03-12 23:00:00
54,2.7,1279.5,9.638999814518419,964.0,193.0,962.5,113.0,1543.5,1285.25,9.4500002861023,64.125,0.7597465282359432,60.261227,0.68742687,2004-03-13 00:00:00
55,1.9,1196.25,7.375139467546298,873.0,139.0,1071.25,97.0,1463.25,1144.25,9.1499998569489,63.900001525879,0.7422764129225364,62.27163,0.698355,2004-03-13 01:00:00
56,1.6,1183.75,5.369604169687442,781.75,83.0,1176.25,82.0,1364.5,1042.75,8.7999999523163,63.924998283386,0.7256153712649386,62.561314,0.6848801,2004-03-13 02:00:00
57,1.7,1171.75,5.390103939543701,782.75,83.0,1178.5,82.0,1379.75,995.5,7.8000000715256,67.52499961853,0.7173121148941005,66.28905,0.6613673,2004-03-13 03:00:00
58,1.7,1147.0,6.199041963295953,821.0,109.0,1132.25,83.0,1411.75,991.5,7.0,71.075000762939,0.7157784693036635,67.63471,0.64416236,2004-03-13 04:00:00
59,1.0,978.25,2.577932199377853,624.75,62.0,1420.25,65.0,1274.25,819.25,8.2999999523163,63.574999809265,0.6981546204756909,63.775654,0.69377846,2004-03-13 05:00:00
60,1.2,1099.5,2.908548009422834,646.25,53.0,1406.25,60.0,1267.5,835.0,7.2000000476837,67.47500038147,0.6886721470838881,65.18035,0.64715767,2004-03-13 06:00:00
61,1.5,1112.25,5.136255828724421,770.25,139.0,1228.0,77.0,1408.5,939.75,6.3499999046326,71.89999961853,0.6931985587343715,69.73467,0.7037474,2004-03-13 07:00:00
62,2.7,1335.5,11.817138600992351,1043.25,256.0,935.25,96.0,1678.0,1191.75,6.450000166893,71.550001144409,0.6944754797176015,71.54389,0.6992681,2004-03-13 08:00:00
63,3.7,1408.3333333333,15.140161198407567,1153.0,295.0,830.33333333333,119.0,1776.6666666667,1411.0,9.5666666030884,59.666667938232,0.7123665611992754,61.71833,0.7007503,2004-03-13 09:00:00
64,3.2,1447.0,12.913063095907157,1080.75,250.0,868.5,126.0,1666.75,1465.0,12.375,51.175000190735,0.7334583850640767,50.51448,0.7252415,2004-03-13 10:00:00
65,4.1,1541.5,16.133508844949027,1183.75,296.0,808.25,158.0,1779.75,1582.5,15.649999856949,42.199999809265,0.7450937577774329,40.915443,0.73782825,2004-03-13 11:00:00
66,3.6,1451.25,14.019301019815009,1117.25,239.0,875.25,161.0,1679.25,1387.25,18.400000095367,33.824999809265,0.708963570176462,30.699629,0.6876983,2004-03-13 12:00:00
67,2.8,1328.25,12.279664077200536,1059.25,153.0,986.5,124.0,1599.5,1100.5,19.35000038147,31.275000095367,0.6950081047527402,25.37959,0.6208067,2004-03-13 13:00:00
68,2.0,1206.5,8.618412576532277,924.25,118.0,1087.75,102.0,1488.25,849.75,18.02499961853,34.800000190735,0.7126738741944919,29.147701,0.6378534,2004-03-13 14:00:00
69,2.0,1239.5,9.196566740238417,947.0,119.0,1049.0,116.0,1531.75,947.0,18.375,33.64999961853,0.704207020809635,31.537329,0.6930023,2004-03-13 15:00:00
70,2.5,1306.0,10.244887084344466,986.75,138.0,1004.0,124.0,1554.0,1078.0,17.625,35.10000038147,0.7012032509364389,30.532558,0.6692714,2004-03-13 16:00:00
71,2.3,1326.0,10.611844460473737,1000.25,148.0,975.5,125.0,1601.5,1083.75,16.675000190735,37.799999237061,0.7117364038435915,35.45173,0.7166504,2004-03-13 17:00:00
72,3.2,1472.75,15.452209964915284,1162.75,227.0,830.5,148.0,1779.0,1394.75,16.099999904633,41.02499961853,0.7451314943585404,40.299217,0.7612912,2004-03-13 18:00:00
73,4.2,1609.0,19.636784663917272,1286.25,277.0,757.5,165.0,1922.0,1611.5,15.825000047684,42.400000572205,0.7569143276676089,41.76134,0.78258044,2004-03-13 19:00:00
74,4.2,1610.75,19.202727916183612,1274.0,279.0,754.25,161.0,1915.0,1697.25,15.650000095367,44.10000038147,0.7786406550707863,43.679672,0.8041547,2004-03-13 20:00:00
75,4.2,1620.5,18.269310357149713,1247.25,283.0,762.0,159.0,1860.0,1885.5,15.325000047684,46.775000572205,0.8091244285768237,45.797215,0.7950444,2004-03-13 21:00:00
76,3.1,1444.25,13.14470430189378,1088.5,214.0,844.0,143.0,1747.5,1623.75,14.649999856949,48.625,0.8059694141072296,54.533802,0.8707014,2004-03-13 22:00:00
77,2.6,1418.0,10.873367154415865,1009.75,172.0,892.0,130.0,1603.0,1536.25,14.700000286102,49.275000572205,0.8193361244198358,51.199245,0.8425404,2004-03-13 23:00:00
78,2.9,1533.5,10.963457959141822,1013.0,190.0,888.5,129.0,1610.75,1534.75,13.949999809265,53.60000038147,0.8497717204331877,54.65422,0.83666015,2004-03-14 00:00:00
79,2.8,1483.5,11.86017851848332,1044.75,174.0,879.75,119.0,1624.25,1529.75,14.649999856949,51.5,0.8536231326791223,48.738354,0.81058264,2004-03-14 01:00:00
80,2.5,1366.75,8.624678823055866,924.5,128.0,952.5,104.0,1543.0,1337.0,12.549999952316,58.900000572205,0.8537400738793904,57.528088,0.8297116,2004-03-14 02:00:00
81,2.4,1344.0,9.737786456670193,967.75,128.0,920.5,104.0,1619.75,1278.25,11.649999856949,63.425000190735,0.8674492315744939,63.811256,0.82660013,2004-03-14 03:00:00
82,2.4,1129.5,5.191654203204007,773.0,70.0,1130.25,82.0,1451.75,1050.5,12.099999904633,61.100001335144,0.8603162131672637,63.116787,0.82753456,2004-03-14 04:00:00
83,1.2,1062.0,3.650423146324865,691.0,53.0,1271.5,70.0,1376.75,929.0,11.475000143051,63.10000038147,0.8532753834381319,63.15931,0.84337264,2004-03-14 05:00:00
84,1.0,1075.75,2.4813419346402656,618.25,44.0,1395.25,63.0,1333.0,872.25,11.599999904633,62.150000572205,0.8472636259100265,62.555943,0.8319717,2004-03-14 06:00:00
85,0.9,1028.25,2.4299844022774177,614.75,74.0,1383.5,67.0,1340.0,853.0,10.399999856949,67.649998664856,0.8529987302926639,66.113556,0.81360406,2004-03-14 07:00:00
86,1.4,1154.5,4.210510136054915,722.25,101.0,1224.75,84.0,1413.75,959.25,11.574999809265,62.674999237061,0.8530382230087753,62.76376,0.82612723,2004-03-14 08:00:00
87,1.6,1235.25,6.352276711074662,828.0,118.0,1055.25,83.0,1527.0,1093.25,12.424999952316,60.0,0.8627151273296463,62.885162,0.90042317,2004-03-14 09:00:00
88,2.2,1331.5,8.587110474608117,923.0,144.0,951.75,98.0,1613.75,1225.0,14.525000095367,53.074999809265,0.8727816223552813,55.864506,0.9221666,2004-03-14 10:00:00
89,2.8,1444.75,10.859535166937011,1009.25,176.0,878.25,114.0,1696.0,1355.25,16.875000476837,46.099999427795,0.8789310942666374,49.1069,0.92299336,2004-03-14 11:00:00
90,2.8,1415.5,10.659815662688954,1002.0,161.0,906.75,119.0,1676.5,1261.5,19.300000190735,38.25,0.8474048021414429,39.28626,0.8784936,2004-03-14 12:00:00
91,2.0,1281.25,7.540072456167103,880.0,113.0,1083.75,104.0,1525.0,980.0,21.174999713898,31.449999809265,0.7811957165002227,31.117682,0.80618113,2004-03-14 13:00:00
92,1.8,1207.25,7.5045987950378565,878.5,103.0,1103.5,102.0,1489.5,872.25,21.424999713898,30.199999809265,0.7615918767626616,28.07421,0.7457675,2004-03-14 14:00:00
93,1.9,1257.75,8.160112924625768,905.75,112.0,1081.25,107.0,1511.0,900.25,21.925000190735,28.950000286102,0.7524589545694458,26.333004,0.74687713,2004-03-14 15:00:00
94,3.0,1457.75,11.867358322901142,1045.0,170.0,973.75,129.0,1646.0,1098.5,22.224999904633,28.39999961853,0.7516273241188697,26.165722,0.73020315,2004-03-14 16:00:00
95,2.9,1437.75,12.033004745084428,1050.75,180.0,942.5,128.0,1667.5,1206.25,21.299999713898,30.75,0.7696154919144513,28.03522,0.75989944,2004-03-14 17:00:00
96,2.5,1477.75,12.163323306748472,1055.25,160.0,929.25,121.0,1670.75,1262.25,19.650000095367,36.699999809265,0.8307061318496992,33.12547,0.80192924,2004-03-14 18:00:00
97,4.6,1807.5,20.57171487732563,1312.25,261.0,753.25,157.0,1992.75,1697.75,18.374999523163,41.72500038147,0.8731957705577488,41.128033,0.83589125,2004-03-14 19:00:00
98,5.9,1898.0,23.142125805295404,1381.25,325.0,680.5,173.0,2102.75,1904.75,17.625,46.099999427795,0.9209535360575977,46.310383,0.88464284,2004-03-14 20:00:00
99,3.4,1559.5,14.720453409836011,1139.75,217.0,783.75,146.0,1817.5,1648.0,16.650000095367,49.575000762939,0.9319900473249648,51.21399,0.9283309,2004-03-14 21:00:00
100,2.1,1324.25,9.004199247323303,939.5,146.0,923.5,121.0,1587.0,1422.75,16.25,50.950000762939,0.9341472131622557,52.09812,0.92655337,2004-03-14 22:00:00
101,2.2,1348.75,8.83888507899354,933.0,152.0,933.0,119.0,1616.5,1348.75,14.725000143051,55.925000190735,0.9313856224921276,57.366306,0.94954735,2004-03-14 23:00:00
102,1.8,1238.75,7.3575603748787675,872.25,104.0,985.0,99.0,1546.5,1250.25,14.825000047684,54.675001144409,0.9163543254683045,55.348335,0.9341196,2004-03-15 00:00:00
103,1.8,1239.0,6.918207216219388,853.25,106.0,1010.25,93.0,1543.25,1173.75,14.049999952316,57.0,0.9094489367663466,58.476986,0.93001395,2004-03-15 01:00:00
104,1.8,1223.75,6.958191195775006,855.0,108.0,998.25,88.0,1565.75,1148.75,13.350000143051,61.349999427795,0.936085703142246,62.419636,0.94589627,2004-03-15 02:00:00
105,1.1,1078.25,4.429862930483551,734.0,108.0,1128.25,88.0,1486.75,1020.5,12.599999904633,63.474999427795,0.9230174218998716,69.22548,0.98144764,2004-03-15 03:00:00
106,1.1,1077.5,3.9959242929204266,710.5,66.0,1150.0,71.0,1467.5,1012.75,12.349999904633,65.35000038147,0.9351122865764487,69.835266,0.95987034,2004-03-15 04:00:00
107,1.0,1074.5,3.8659143375749494,703.25,88.0,1155.75,74.0,1463.75,1010.0,11.899999856949,67.449998855591,0.9375381769341324,70.8071,0.96062315,2004-03-15 05:00:00
108,1.4,1156.75,6.3853200900791585,829.5,138.0,1029.5,80.0,1584.0,1083.0,11.375,70.52499961853,0.9475162243381903,71.30056,0.99412096,2004-03-15 06:00:00
109,2.2,1314.0,9.685046806517573,965.75,228.0,896.75,89.0,1710.25,1234.75,11.324999809265,70.200000762939,0.940095096018487,68.38114,0.9703689,2004-03-15 07:00:00
110,5.5,1796.75,25.870457660998934,1451.0,360.0,652.0,114.0,2323.0,1679.5,12.400000095367,63.875000953674,0.9169546941482681,66.30425,0.9313115,2004-03-15 08:00:00
111,8.1,1961.25,36.69206253067248,1701.0,478.0,536.75,149.0,2665.25,2184.25,14.774999856949,54.324999809265,0.9076095360418625,56.523434,0.9846893,2004-03-15 09:00:00
112,5.8,1770.5,26.6360247644022,1470.0,394.0,621.5,157.0,2261.5,1973.0,17.400000095367,45.64999961853,0.8992981706467373,45.15584,0.9651971,2004-03-15 10:00:00
113,4.2,1563.5,20.11092309343549,1299.5,319.0,709.75,155.0,2029.0,1798.25,19.800000190735,38.525000572205,0.880059991386787,40.438717,0.96299696,2004-03-15 11:00:00
114,3.1,1430.0,14.096485799877708,1119.75,201.0,830.5,134.0,1783.25,1522.0,22.025000095367,34.050000190735,0.8903685188126028,34.466473,0.8917489,2004-03-15 12:00:00
115,2.9,1417.25,14.9257192296359,1146.25,171.0,829.5,119.0,1830.5,1404.0,23.324999809265,32.174999237061,0.9095992195673936,32.4222,0.92947215,2004-03-15 13:00:00
116,2.9,1400.25,15.436141471547911,1162.25,159.0,838.25,111.0,1828.5,1263.25,23.875,29.97500038147,0.8756585288124981,28.5687,0.8869289,2004-03-15 14:00:00
117,2.5,1317.25,12.09085021877653,1052.75,153.0,926.0,104.0,1706.75,1137.0,24.449999809265,28.900000095367,0.873591912397843,25.636162,0.85492045,2004-03-15 15:00:00
118,2.3,1317.75,11.524820242423965,1033.0,143.0,949.75,99.0,1675.0,1068.0,24.375,29.39999961853,0.8847617117200978,25.644064,0.83142793,2004-03-15 16:00:00
119,2.8,1445.25,14.759833471701361,1141.0,156.0,856.5,110.0,1823.5,1251.5,23.849999904633,31.325000762939,0.913735211108514,29.082949,0.9172043,2004-03-15 17:00:00
120,6.1,1917.0,32.14884367945396,1600.5,314.0,631.25,162.0,2447.0,1843.25,22.549999237061,35.375000953674,0.9546998207473483,38.7181,1.0724381,2004-03-15 18:00:00
121,8.0,2039.75,39.20233967931091,1754.25,404.0,542.25,187.0,2679.0,2122.25,20.425000667572,42.5,1.0086313341074233,43.49238,1.0892729,2004-03-15 19:00:00
122,6.5,1894.75,30.961305060452627,1573.25,320.0,565.0,165.0,2442.75,1991.5,18.275000095367,52.625000953674,1.0945180933132785,48.931004,1.0958834,2004-03-15 20:00:00
123,4.2,1594.5,19.895621463254436,1293.5,256.0,678.25,145.0,2057.5,1707.0,16.650000095367,57.375,1.0786268914239705,53.709206,1.000431,2004-03-15 21:00:00
124,3.2,1438.5,15.31585504960172,1158.5,193.0,764.25,125.0,1856.25,1494.25,15.699999809265,60.150000572205,1.0653715549625937,53.001755,0.9450206,2004-03-15 22:00:00
125,1.4,1141.5,6.895403347240391,852.25,89.0,1008.25,101.0,1547.25,1164.25,15.250000238419,61.449998855591,1.0579554990778919,57.965878,0.9577612,2004-03-15 23:00:00
126,2.1,1303.6666666667,11.139929168771717,1019.3333333333,127.0,852.33333333333,103.0,1731.3333333333,1271.6666666667,14.066666603088,65.699999491374,1.049372403097042,62.3989,0.99703974,2004-03-16 00:00:00
127,1.2,1074.25,5.40550061636386,783.5,79.0,1097.75,88.0,1483.0,1039.75,14.825000047684,60.550001144409,1.0148194658330398,57.642036,0.91514194,2004-03-16 01:00:00
128,0.8,968.0,2.810688037123539,640.0,43.0,1319.5,61.0,1385.75,866.75,14.75,59.224999427795,0.9879081107816498,58.09931,0.9509175,2004-03-16 02:00:00
129,0.7,929.25,2.325061547147355,607.5,43.0,1375.5,61.0,1364.25,825.75,13.624999761581,62.050000190735,0.9635549956184191,61.16191,0.92947555,2004-03-16 03:00:00
130,0.7,941.0,2.5891783027743425,625.5,59.0,1315.75,59.0,1373.25,839.75,12.324999809265,66.150000572205,0.9450361951968503,64.77103,0.9162094,2004-03-16 04:00:00
131,0.6,937.0,2.0087426345174735,584.75,38.0,1411.5,52.0,1348.0,792.5,12.75,63.22500038147,0.9282898040213576,62.631638,0.90156853,2004-03-16 05:00:00
132,0.9,1017.0,3.4826893251173856,681.25,82.0,1245.75,64.0,1417.5,869.5,11.174999952316,68.47500038147,0.9081071231015929,68.47578,0.91040987,2004-03-16 06:00:00
133,1.3,1171.25,5.131232180692032,770.0,99.0,1161.75,70.0,1466.75,930.0,10.975000143051,66.5,0.8705229495981881,65.54596,0.8298869,2004-03-16 07:00:00
134,3.4,1541.0,16.17445704918363,1185.0,263.0,770.0,97.0,1888.75,1406.5,11.674999952316,63.650000572205,0.8719365877065632,62.891884,0.82827616,2004-03-16 08:00:00
135,3.7,1539.25,19.663493856394243,1287.0,229.0,697.5,95.0,2054.75,1507.0,13.625,56.299999237061,0.8742650471769098,59.24961,0.95006716,2004-03-16 09:00:00
136,5.3,1734.75,25.05515030336349,1430.5,396.0,628.25,150.0,2211.0,1843.25,17.824999332428,42.875,0.8672254631723162,45.082985,0.9985988,2004-03-16 10:00:00
137,4.1,1571.0,20.003148782861153,1296.5,314.0,730.0,162.0,1972.75,1729.0,21.449999809265,33.324999332428,0.8416712958240697,34.89556,0.8832714,2004-03-16 11:00:00
138,3.3,1451.75,18.347057576589474,1249.5,217.0,775.5,154.0,1868.25,1583.25,24.375,27.35000038147,0.8230691655452694,26.648067,0.8286035,2004-03-16 12:00:00
139,4.0,1579.0,22.308582975669996,1359.25,252.0,724.0,161.0,1997.75,1670.75,25.250000476837,26.075000286102,0.8263807552458209,24.22017,0.84872484,2004-03-16 13:00:00
140,3.8,1466.25,20.444779979264574,1308.75,263.0,772.5,161.0,1897.0,1491.25,25.825000286102,23.150000095367,0.7589369630881299,20.108599,0.7740081,2004-03-16 14:00:00
141,2.8,1279.75,14.610427960363092,1136.25,180.0,892.75,128.0,1675.25,1239.75,27.0,20.200000286102,0.7093615130294146,18.387638,0.6997158,2004-03-16 15:00:00
142,2.9,1407.0,16.553254344130867,1196.5,184.0,905.25,129.0,1758.75,1313.0,28.249999523163,18.574999809265,0.7013857388336394,16.498512,0.7059216,2004-03-16 16:00:00
143,2.9,1388.75,15.78318309681854,1173.0,190.0,898.25,133.0,1739.0,1363.25,27.974999904633,19.10000038147,0.709825085363188,17.01783,0.7320657,2004-03-16 17:00:00
144,3.4,1447.25,17.83994777641898,1234.75,184.0,858.75,139.0,1778.0,1295.75,23.900000095367,25.699999809265,0.7518910408124666,20.68179,0.65036935,2004-03-16 18:00:00
145,3.9,1551.0,19.09705933715707,1271.0,181.0,800.25,137.0,1874.5,1432.25,21.349999904633,34.77499961853,0.8729931333855647,28.678556,0.76574886,2004-03-16 19:00:00
146,3.2,1473.5,15.766968720541028,1172.5,166.0,854.25,143.0,1776.0,1431.75,20.425000190735,36.675000190735,0.870389489318189,32.312954,0.7745946,2004-03-16 20:00:00
147,5.1,1799.5,24.877671870607216,1426.0,317.0,700.0,177.0,2105.5,2033.5,19.025000095367,41.349999427795,0.9007307308826996,38.48603,0.83766586,2004-03-16 21:00:00
148,2.6,1379.25,13.529604730694471,1101.25,184.0,817.5,138.0,1710.0,1601.75,17.925000190735,45.900000572205,0.9341860450216591,41.23825,0.8457558,2004-03-16 22:00:00
